ass_ln,stn_no,dt,shift,tgt_prod,act_prod,eff_perc,def_unit,min_threshold,max_cap,stock_avl,downtime_hrs,stn_status,shortages,part_name
Line D,1,1/23/2025,Night,87,0,0,0,47,161,0,4.4,Shortage Pause,85,Windshield Wiper
Line D,2,1/23/2025,Night,88,85,96.6,0,42,189,180,0,Active,0,Engine Oil Filter
Line D,3,1/23/2025,Morning,79,75,94.9,0,36,171,104,0,Active,0,Air Filter
Line A,1,1/24/2025,Morning,151,5,3.3,0,21,191,5,3.1,Shortage Pause,144,Engine Oil Filter
Line A,2,1/24/2025,Morning,129,125,96.9,2,25,167,146,0,Active,0,Air Filter
Line A,3,1/24/2025,Morning,78,33,42.3,0,29,150,33,1.4,Shortage Pause,39,Spark Plug Set
Line B,1,1/24/2025,Morning,99,94,94.9,1,40,232,182,0.5,Active,0,Brake Pad Set
Line B,2,1/24/2025,Night,108,95,88,2,49,208,95,0.2,Shortage Pause,6,Brake Disc
Line B,3,1/24/2025,Morning,73,22,30.1,2,36,157,22,3.9,Shortage Pause,46,Shock Absorber
Line C,1,1/24/2025,Morning,15,0,0,0,28,185,125,1.1,Paused,0,Timing Belt
Line C,2,1/24/2025,Night,102,0,0,0,20,199,0,6,Shortage Pause,99,Battery
Line C,3,1/24/2025,Night,113,95,84.1,0,47,176,95,0.3,Shortage Pause,12,Headlight Bulb
Line D,1,1/24/2025,Morning,94,94,100,2,47,161,118,0,Active,0,Windshield Wiper
Line D,2,1/24/2025,Night,92,88,95.7,0,42,189,95,0,Active,0,Engine Oil Filter
Line D,3,1/24/2025,Morning,77,86,111.7,0,36,171,151,0,Active,0,Air Filter
Line A,1,1/25/2025,Morning,139,130,93.5,1,21,191,130,0.3,Shortage Pause,17,Engine Oil Filter
Line A,2,1/25/2025,Night,160,167,104.4,2,25,167,167,0.1,Shortage Pause,3,Air Filter
Line A,3,1/25/2025,Morning,87,83,95.4,1,29,150,129,0,Active,0,Spark Plug Set
Line B,1,1/25/2025,Morning,107,88,82.2,1,40,232,88,1.6,Shortage Pause,34,Brake Pad Set
Line B,2,1/25/2025,Night,113,111,98.2,2,49,208,111,0.3,Shortage Pause,12,Brake Disc
Line B,3,1/25/2025,Morning,75,65,86.7,1,36,157,93,0,Active,0,Shock Absorber
Line C,1,1/25/2025,Night,153,125,81.7,3,28,185,125,1.7,Shortage Pause,53,Timing Belt
Line C,2,1/25/2025,Night,94,103,109.6,0,20,199,181,0,Active,0,Battery
Line C,3,1/25/2025,Morning,9,0,0,0,47,176,82,1.5,Paused,0,Headlight Bulb
Line D,1,1/25/2025,Night,103,113,109.7,0,47,161,124,0,Active,0,Windshield Wiper
Line D,2,1/25/2025,Morning,92,91,98.9,1,42,189,149,0,Active,0,Engine Oil Filter
Line D,3,1/25/2025,Night,91,65,71.4,4,36,171,65,0.7,Shortage Pause,20,Air Filter
Line A,1,1/26/2025,Night,116,127,109.5,2,21,191,170,0,Active,0,Engine Oil Filter
Line A,2,1/26/2025,Night,135,133,98.5,0,25,167,133,0.9,Shortage Pause,27,Air Filter
Line A,3,1/26/2025,Night,85,46,54.1,0,29,150,46,0.8,Shortage Pause,33,Spark Plug Set
Line B,1,1/26/2025,Night,99,89,89.9,2,40,232,210,0.5,Active,0,Brake Pad Set
Line B,2,1/26/2025,Morning,110,108,98.2,3,49,208,125,0,Active,0,Brake Disc
Line B,3,1/26/2025,Morning,96,90,93.8,1,36,157,117,0,Active,0,Shock Absorber
Line C,1,1/26/2025,Morning,136,104,76.5,1,28,185,104,1.4,Shortage Pause,38,Timing Belt
Line C,2,1/26/2025,Night,100,78,78,1,20,199,78,1.2,Shortage Pause,23,Battery
Line C,3,1/26/2025,Night,130,82,63.1,1,47,176,82,1.5,Shortage Pause,81,Headlight Bulb
Line D,1,1/26/2025,Night,107,87,81.3,1,47,161,87,1.2,Shortage Pause,23,Windshield Wiper
Line D,2,1/26/2025,Morning,90,58,64.4,4,42,189,58,1,Shortage Pause,30,Engine Oil Filter
Line D,3,1/26/2025,Morning,74,0,0,0,36,171,0,5.1,Shortage Pause,70,Air Filter
Line A,1,1/27/2025,Night,117,43,36.8,1,21,191,43,2.4,Shortage Pause,75,Engine Oil Filter
Line A,2,1/27/2025,Night,123,0,0,0,25,167,0,2.2,Shortage Pause,123,Air Filter
Line A,3,1/27/2025,Morning,90,0,0,0,29,150,0,5,Shortage Pause,89,Spark Plug Set
Line B,1,1/27/2025,Morning,102,84,82.4,1,40,232,121,0,Active,0,Brake Pad Set
Line B,2,1/27/2025,Morning,8,0,0,0,49,208,141,1.5,Paused,0,Brake Disc
Line B,3,1/27/2025,Morning,92,95,103.3,2,36,157,110,0,Active,0,Shock Absorber
Line C,1,1/27/2025,Night,134,0,0,0,28,185,0,2.2,Shortage Pause,144,Timing Belt
Line C,2,1/27/2025,Morning,102,99,97.1,0,20,199,136,0,Active,0,Battery
Line C,3,1/27/2025,Morning,134,88,65.7,2,47,176,88,1.7,Shortage Pause,38,Headlight Bulb
Line D,1,1/27/2025,Night,100,0,0,0,47,161,0,4.9,Shortage Pause,89,Windshield Wiper
Line D,2,1/27/2025,Night,68,70,102.9,1,42,189,100,0,Active,0,Engine Oil Filter
Line D,3,1/27/2025,Night,71,0,0,0,36,171,0,2.9,Shortage Pause,72,Air Filter
Line A,1,1/28/2025,Night,117,117,100,2,21,191,162,0.3,Active,0,Engine Oil Filter
Line A,2,1/28/2025,Night,142,101,71.1,4,25,167,101,1,Shortage Pause,30,Air Filter
Line A,3,1/28/2025,Morning,84,84,100,0,29,150,93,0.1,Active,0,Spark Plug Set
Line B,1,1/28/2025,Morning,107,37,34.6,3,40,232,37,1.8,Shortage Pause,76,Brake Pad Set
Line B,2,1/28/2025,Morning,103,101,98.1,1,49,208,141,0,Active,0,Brake Disc
Line B,3,1/28/2025,Morning,73,69,94.5,1,36,157,116,0,Active,0,Shock Absorber
Line C,1,1/28/2025,Night,146,0,0,0,28,185,0,4.2,Shortage Pause,148,Timing Belt
Line C,2,1/28/2025,Night,99,37,37.4,1,20,199,37,3.4,Shortage Pause,55,Battery
Line C,3,1/28/2025,Morning,128,120,93.8,2,47,176,120,0.5,Shortage Pause,19,Headlight Bulb
Line D,1,1/28/2025,Morning,108,72,66.7,2,47,161,72,1,Shortage Pause,29,Windshield Wiper
Line D,2,1/28/2025,Night,77,75,97.4,2,42,189,169,0.2,Active,0,Engine Oil Filter
Line D,3,1/28/2025,Night,73,65,89,1,36,171,108,0,Active,0,Air Filter
Line A,1,1/29/2025,Morning,119,45,37.8,4,21,191,45,2.4,Shortage Pause,65,Engine Oil Filter
Line A,2,1/29/2025,Night,138,131,94.9,0,25,167,133,0,Active,0,Air Filter
Line A,3,1/29/2025,Night,82,82,100,0,29,150,118,0,Active,0,Spark Plug Set
Line B,1,1/29/2025,Morning,112,122,108.9,3,40,232,175,0,Active,0,Brake Pad Set
Line B,2,1/29/2025,Morning,11,0,0,0,49,208,40,1.2,Paused,0,Brake Disc
Line B,3,1/29/2025,Night,82,47,57.3,3,36,157,47,2.4,Shortage Pause,45,Shock Absorber
Line C,1,1/29/2025,Morning,13,0,0,0,28,185,94,0.7,Paused,0,Timing Belt
Line C,2,1/29/2025,Night,99,103,104,2,20,199,147,0,Active,0,Battery
Line C,3,1/29/2025,Night,121,0,0,0,47,176,0,5.8,Shortage Pause,123,Headlight Bulb
Line D,1,1/29/2025,Morning,106,76,71.7,1,47,161,76,1.2,Shortage Pause,30,Windshield Wiper
Line D,2,1/29/2025,Night,72,72,100,2,42,189,94,0,Active,0,Engine Oil Filter
Line D,3,1/29/2025,Morning,95,43,45.3,0,36,171,43,1.2,Shortage Pause,55,Air Filter
Line A,1,1/30/2025,Morning,133,127,95.5,1,21,191,153,0,Active,0,Engine Oil Filter
Line A,2,1/30/2025,Morning,152,137,90.1,1,25,167,140,0.4,Active,0,Air Filter
Line A,3,1/30/2025,Morning,99,36,36.4,2,29,150,36,2.9,Shortage Pause,59,Spark Plug Set
Line B,1,1/30/2025,Night,102,53,52,0,40,232,53,2.1,Shortage Pause,59,Brake Pad Set
Line B,2,1/30/2025,Night,119,136,114.3,2,49,208,208,0,Active,0,Brake Disc
Line B,3,1/30/2025,Morning,93,84,90.3,1,36,157,84,1.1,Shortage Pause,19,Shock Absorber
Line C,1,1/30/2025,Night,151,94,62.3,9,28,185,94,1.1,Shortage Pause,68,Timing Belt
Line C,2,1/30/2025,Morning,7,0,0,0,20,199,44,1.6,Paused,0,Battery
Line C,3,1/30/2025,Morning,123,88,71.5,3,47,176,88,1.7,Shortage Pause,51,Headlight Bulb
Line D,1,1/30/2025,Night,101,69,68.3,3,47,161,69,1.7,Shortage Pause,31,Windshield Wiper
Line D,2,1/30/2025,Night,63,59,93.7,0,42,189,170,0,Active,0,Engine Oil Filter
Line D,3,1/30/2025,Morning,48,52,108.3,1,36,171,144,0,Active,0,Air Filter
Line A,1,1/31/2025,Night,115,26,22.6,0,21,191,26,3.5,Shortage Pause,122,Engine Oil Filter
Line A,2,1/31/2025,Morning,154,3,1.9,0,25,167,3,3.9,Shortage Pause,144,Air Filter
Line A,3,1/31/2025,Night,94,102,108.5,1,29,150,112,0,Active,0,Spark Plug Set
Line B,1,1/31/2025,Night,101,0,0,0,40,232,0,3.5,Shortage Pause,98,Brake Pad Set
Line B,2,1/31/2025,Night,115,72,62.6,1,49,208,72,1,Shortage Pause,43,Brake Disc
Line B,3,1/31/2025,Morning,84,93,110.7,1,36,157,132,0,Active,0,Shock Absorber
Line C,1,1/31/2025,Morning,143,114,79.7,5,28,185,114,0.6,Shortage Pause,31,Timing Belt
Line C,2,1/31/2025,Morning,96,44,45.8,4,20,199,44,1.5,Shortage Pause,67,Battery
Line C,3,1/31/2025,Night,125,0,0,0,47,176,0,4.6,Shortage Pause,117,Headlight Bulb
Line D,1,1/31/2025,Night,89,0,0,0,47,161,0,3.4,Shortage Pause,77,Windshield Wiper
Line D,2,1/31/2025,Morning,67,72,107.5,0,42,189,111,0.2,Active,0,Engine Oil Filter
Line D,3,1/31/2025,Morning,58,48,82.8,0,36,171,92,0,Active,0,Air Filter
Line A,1,2/1/2025,Morning,124,114,91.9,1,21,191,145,0,Active,0,Engine Oil Filter
Line A,2,2/1/2025,Night,12,0,0,0,25,167,0,1.7,Paused,0,Air Filter
Line A,3,2/1/2025,Morning,86,10,11.6,2,29,150,10,4.9,Shortage Pause,73,Spark Plug Set
Line B,1,2/1/2025,Night,100,106,106,2,40,232,178,0,Active,0,Brake Pad Set
Line B,2,2/1/2025,Morning,112,113,100.9,2,49,208,135,0,Active,0,Brake Disc
Line B,3,2/1/2025,Night,74,39,52.7,2,36,157,39,2.5,Shortage Pause,35,Shock Absorber
Line C,1,2/1/2025,Morning,130,115,88.5,1,28,185,115,0.3,Shortage Pause,13,Timing Belt
Line C,2,2/1/2025,Morning,106,0,0,0,20,199,0,5.3,Shortage Pause,97,Battery
Line C,3,2/1/2025,Morning,114,0,0,0,47,176,0,3.3,Shortage Pause,107,Headlight Bulb
Line D,1,2/1/2025,Night,83,75,90.4,0,47,161,122,0,Active,0,Windshield Wiper
Line D,2,2/1/2025,Morning,77,74,96.1,2,42,189,189,0,Active,0,Engine Oil Filter
Line D,3,2/1/2025,Morning,80,44,55,0,36,171,44,2.7,Shortage Pause,40,Air Filter
Line A,1,2/2/2025,Night,109,31,28.4,0,21,191,31,3.9,Shortage Pause,78,Engine Oil Filter
Line A,2,2/2/2025,Morning,143,90,62.9,5,25,167,90,1.5,Shortage Pause,53,Air Filter
Line A,3,2/2/2025,Night,9,0,0,0,29,150,121,8,Maintenance,0,Spark Plug Set
Line B,1,2/2/2025,Night,113,72,63.7,1,40,232,72,0.9,Shortage Pause,43,Brake Pad Set
Line B,2,2/2/2025,Morning,99,89,89.9,1,49,208,145,0,Active,0,Brake Disc
Line B,3,2/2/2025,Night,77,73,94.8,2,36,157,73,0.6,Shortage Pause,9,Shock Absorber
Line C,1,2/2/2025,Morning,134,143,106.7,4,28,185,157,0,Active,0,Timing Belt
Line C,2,2/2/2025,Night,105,105,100,0,20,199,183,0.2,Active,0,Battery
Line C,3,2/2/2025,Night,131,129,98.5,1,47,176,139,0.1,Active,0,Headlight Bulb
Line D,1,2/2/2025,Night,103,47,45.6,2,47,161,47,3,Shortage Pause,61,Windshield Wiper
Line D,2,2/2/2025,Morning,77,75,97.4,1,42,189,115,0,Active,0,Engine Oil Filter
Line D,3,2/2/2025,Night,67,72,107.5,0,36,171,143,0,Active,0,Air Filter
Line A,1,2/3/2025,Morning,113,107,94.7,1,21,191,180,0.4,Active,0,Engine Oil Filter
Line A,2,2/3/2025,Night,127,114,89.8,1,25,167,114,0.2,Shortage Pause,9,Air Filter
Line A,3,2/3/2025,Night,87,79,90.8,0,29,150,121,0,Active,0,Spark Plug Set
Line B,1,2/3/2025,Morning,105,116,110.5,0,40,232,171,0,Active,0,Brake Pad Set
Line B,2,2/3/2025,Night,126,56,44.4,5,49,208,56,1.6,Shortage Pause,69,Brake Disc
Line B,3,2/3/2025,Night,81,74,91.4,1,36,157,123,0,Active,0,Shock Absorber
Line C,1,2/3/2025,Morning,140,108,77.1,5,28,185,108,1.1,Shortage Pause,24,Timing Belt
Line C,2,2/3/2025,Morning,94,78,83,1,20,199,78,1.3,Shortage Pause,31,Battery
Line C,3,2/3/2025,Morning,121,135,111.6,1,47,176,142,0,Active,0,Headlight Bulb
Line D,1,2/3/2025,Morning,11,0,0,0,47,161,0,1.1,Paused,0,Windshield Wiper
Line D,2,2/3/2025,Night,74,71,95.9,3,42,189,152,0,Active,0,Engine Oil Filter
Line D,3,2/3/2025,Night,75,71,94.7,2,36,171,71,0.3,Shortage Pause,5,Air Filter
Line A,1,2/4/2025,Morning,122,73,59.8,1,21,191,73,1.7,Shortage Pause,50,Engine Oil Filter
Line A,2,2/4/2025,Morning,14,0,0,0,25,167,0,8,Maintenance,0,Air Filter
Line A,3,2/4/2025,Morning,99,42,42.4,1,29,150,42,1.8,Shortage Pause,68,Spark Plug Set
Line B,1,2/4/2025,Morning,115,55,47.8,1,40,232,55,2.8,Shortage Pause,73,Brake Pad Set
Line B,2,2/4/2025,Morning,112,112,100,0,49,208,169,0.2,Active,0,Brake Disc
Line B,3,2/4/2025,Night,84,49,58.3,2,36,157,49,0.9,Shortage Pause,34,Shock Absorber
Line C,1,2/4/2025,Morning,166,0,0,0,28,185,0,4.8,Shortage Pause,164,Timing Belt
Line C,2,2/4/2025,Morning,106,0,0,0,20,199,0,3.8,Shortage Pause,113,Battery
Line C,3,2/4/2025,Night,108,91,84.3,1,47,176,91,1.1,Shortage Pause,24,Headlight Bulb
Line D,1,2/4/2025,Night,117,70,59.8,4,47,161,70,2,Shortage Pause,40,Windshield Wiper
Line D,2,2/4/2025,Morning,80,78,97.5,0,42,189,81,0,Active,0,Engine Oil Filter
Line D,3,2/4/2025,Morning,92,95,103.3,1,36,171,142,0,Active,0,Air Filter
Line A,1,2/5/2025,Morning,134,0,0,0,21,191,0,3.1,Shortage Pause,132,Engine Oil Filter
Line A,2,2/5/2025,Night,140,0,0,0,25,167,0,3.5,Shortage Pause,140,Air Filter
Line A,3,2/5/2025,Night,89,80,89.9,0,29,150,91,0,Active,0,Spark Plug Set
Line B,1,2/5/2025,Morning,101,0,0,0,40,232,0,3.6,Shortage Pause,96,Brake Pad Set
Line B,2,2/5/2025,Morning,118,57,48.3,4,49,208,57,2.1,Shortage Pause,63,Brake Disc
Line B,3,2/5/2025,Night,78,0,0,0,36,157,0,2.1,Shortage Pause,82,Shock Absorber
Line C,1,2/5/2025,Morning,143,123,86,2,28,185,123,0.3,Shortage Pause,11,Timing Belt
Line C,2,2/5/2025,Morning,93,79,84.9,1,20,199,182,0,Active,0,Battery
Line C,3,2/5/2025,Night,121,0,0,0,47,176,0,4.1,Shortage Pause,129,Headlight Bulb
Line D,1,2/5/2025,Morning,96,101,105.2,0,47,161,101,0.1,Shortage Pause,2,Windshield Wiper
Line D,2,2/5/2025,Night,89,76,85.4,0,42,189,118,0.3,Active,0,Engine Oil Filter
Line D,3,2/5/2025,Morning,86,47,54.7,2,36,171,47,1.5,Shortage Pause,36,Air Filter
Line A,1,2/6/2025,Morning,121,121,100,0,21,191,130,0,Active,0,Engine Oil Filter
Line A,2,2/6/2025,Night,134,130,97,0,25,167,156,0,Active,0,Air Filter
Line A,3,2/6/2025,Morning,106,104,98.1,3,29,150,123,0,Active,0,Spark Plug Set
Line B,1,2/6/2025,Night,123,114,92.7,0,40,232,146,0,Active,0,Brake Pad Set
Line B,2,2/6/2025,Night,119,130,109.2,1,49,208,147,0,Active,0,Brake Disc
Line B,3,2/6/2025,Night,76,83,109.2,1,36,157,83,0.3,Shortage Pause,6,Shock Absorber
Line C,1,2/6/2025,Night,147,119,81,0,28,185,119,1,Shortage Pause,26,Timing Belt
Line C,2,2/6/2025,Morning,72,68,94.4,1,20,199,103,0,Active,0,Battery
Line C,3,2/6/2025,Night,156,129,82.7,1,47,176,131,0.4,Active,0,Headlight Bulb
Line D,1,2/6/2025,Night,92,85,92.4,0,47,161,85,0.2,Shortage Pause,4,Windshield Wiper
Line D,2,2/6/2025,Morning,68,42,61.8,1,42,189,42,0.6,Shortage Pause,13,Engine Oil Filter
Line D,3,2/6/2025,Morning,74,74,100,1,36,171,90,0,Active,0,Air Filter
Line A,1,2/7/2025,Night,112,121,108,0,21,191,161,0.4,Active,0,Engine Oil Filter
Line A,2,2/7/2025,Night,166,26,15.7,2,25,167,26,4.6,Shortage Pause,151,Air Filter
Line A,3,2/7/2025,Night,100,95,95,1,29,150,148,0,Active,0,Spark Plug Set
Line B,1,2/7/2025,Night,103,90,87.4,0,40,232,207,0.4,Active,0,Brake Pad Set
Line B,2,2/7/2025,Night,107,17,15.9,0,49,208,17,4.3,Shortage Pause,105,Brake Disc
Line B,3,2/7/2025,Night,77,74,96.1,0,36,157,74,0.4,Shortage Pause,7,Shock Absorber
Line C,1,2/7/2025,Morning,138,131,94.9,0,28,185,131,0,Shortage Pause,1,Timing Belt
Line C,2,2/7/2025,Night,95,35,36.8,0,20,199,35,1.8,Shortage Pause,55,Battery
Line C,3,2/7/2025,Night,144,2,1.4,0,47,176,2,5.7,Shortage Pause,131,Headlight Bulb
Line D,1,2/7/2025,Night,112,0,0,0,47,161,0,2.1,Shortage Pause,118,Windshield Wiper
Line D,2,2/7/2025,Morning,77,78,101.3,0,42,189,141,0,Active,0,Engine Oil Filter
Line D,3,2/7/2025,Morning,8,0,0,0,36,171,153,0.9,Paused,0,Air Filter
Line A,1,2/8/2025,Night,96,40,41.7,0,21,191,40,1.8,Shortage Pause,54,Engine Oil Filter
Line A,2,2/8/2025,Morning,140,136,97.1,0,25,167,136,0.6,Shortage Pause,15,Air Filter
Line A,3,2/8/2025,Morning,78,53,67.9,2,29,150,53,0.9,Shortage Pause,17,Spark Plug Set
Line B,1,2/8/2025,Morning,11,0,0,0,40,232,117,1.5,Paused,0,Brake Pad Set
Line B,2,2/8/2025,Morning,116,112,96.6,0,49,208,168,0,Active,0,Brake Disc
Line B,3,2/8/2025,Morning,84,71,84.5,1,36,157,128,0,Active,0,Shock Absorber
Line C,1,2/8/2025,Night,138,110,79.7,1,28,185,110,0.4,Shortage Pause,19,Timing Belt
Line C,2,2/8/2025,Morning,72,0,0,0,20,199,0,3.8,Shortage Pause,78,Battery
Line C,3,2/8/2025,Morning,116,0,0,0,47,176,0,2.2,Shortage Pause,119,Headlight Bulb
Line D,1,2/8/2025,Night,125,0,0,0,47,161,0,5.3,Shortage Pause,125,Windshield Wiper
Line D,2,2/8/2025,Night,84,63,75,2,42,189,63,0.7,Shortage Pause,11,Engine Oil Filter
Line D,3,2/8/2025,Morning,81,80,98.8,0,36,171,153,0,Active,0,Air Filter
Line A,1,2/9/2025,Night,118,102,86.4,0,21,191,102,0.1,Shortage Pause,4,Engine Oil Filter
Line A,2,2/9/2025,Night,183,86,47,4,25,167,86,2.3,Shortage Pause,87,Air Filter
Line A,3,2/9/2025,Morning,97,0,0,0,29,150,0,5.7,Shortage Pause,107,Spark Plug Set
Line B,1,2/9/2025,Night,11,0,0,0,40,232,117,1.8,Paused,0,Brake Pad Set
Line B,2,2/9/2025,Morning,103,56,54.4,2,49,208,56,2.8,Shortage Pause,58,Brake Disc
Line B,3,2/9/2025,Night,81,57,70.4,0,36,157,57,1.2,Shortage Pause,30,Shock Absorber
Line C,1,2/9/2025,Morning,120,113,94.2,1,28,185,170,0,Active,0,Timing Belt
Line C,2,2/9/2025,Morning,89,84,94.4,1,20,199,144,0,Active,0,Battery
Line C,3,2/9/2025,Night,135,116,85.9,0,47,176,116,0.9,Shortage Pause,27,Headlight Bulb
Line D,1,2/9/2025,Morning,11,0,0,0,47,161,101,8,Maintenance,0,Windshield Wiper
Line D,2,2/9/2025,Morning,80,76,95,0,42,189,161,0.3,Active,0,Engine Oil Filter
Line D,3,2/9/2025,Night,85,73,85.9,1,36,171,73,0.2,Shortage Pause,4,Air Filter
Line A,1,2/10/2025,Night,108,0,0,0,21,191,0,2.9,Shortage Pause,118,Engine Oil Filter
Line A,2,2/10/2025,Night,134,0,0,0,25,167,0,3.5,Shortage Pause,155,Air Filter
Line A,3,2/10/2025,Night,99,0,0,0,29,150,0,5.9,Shortage Pause,103,Spark Plug Set
Line B,1,2/10/2025,Morning,82,77,93.9,1,40,232,117,0,Active,0,Brake Pad Set
Line B,2,2/10/2025,Morning,119,131,110.1,1,49,208,139,0,Active,0,Brake Disc
Line B,3,2/10/2025,Night,77,78,101.3,0,36,157,79,0,Active,0,Shock Absorber
Line C,1,2/10/2025,Night,140,57,40.7,2,28,185,57,3.1,Shortage Pause,77,Timing Belt
Line C,2,2/10/2025,Morning,106,60,56.6,4,20,199,60,1.1,Shortage Pause,47,Battery
Line C,3,2/10/2025,Night,102,81,79.4,2,47,176,129,0,Active,0,Headlight Bulb
Line D,1,2/10/2025,Night,92,90,97.8,1,47,161,101,0,Active,0,Windshield Wiper
Line D,2,2/10/2025,Morning,70,71,101.4,0,42,189,85,0,Active,0,Engine Oil Filter
Line D,3,2/10/2025,Morning,88,0,0,0,36,171,0,2.7,Shortage Pause,102,Air Filter
Line A,1,2/11/2025,Morning,126,117,92.9,0,21,191,148,0,Active,0,Engine Oil Filter
Line A,2,2/11/2025,Morning,170,0,0,0,25,167,0,2.1,Shortage Pause,158,Air Filter
Line A,3,2/11/2025,Night,102,112,109.8,1,29,150,112,0.3,Shortage Pause,6,Spark Plug Set
Line B,1,2/11/2025,Morning,101,40,39.6,3,40,232,40,3.1,Shortage Pause,56,Brake Pad Set
Line B,2,2/11/2025,Morning,103,86,83.5,0,49,208,112,0,Active,0,Brake Disc
Line B,3,2/11/2025,Morning,90,93,103.3,4,36,157,93,0.3,Shortage Pause,8,Shock Absorber
Line C,1,2/11/2025,Morning,141,119,84.4,5,28,185,119,0.5,Shortage Pause,12,Timing Belt
Line C,2,2/11/2025,Morning,92,95,103.3,1,20,199,187,0.2,Active,0,Battery
Line C,3,2/11/2025,Morning,115,48,41.7,1,47,176,48,2.4,Shortage Pause,70,Headlight Bulb
Line D,1,2/11/2025,Morning,101,93,92.1,2,47,161,93,0.2,Shortage Pause,4,Windshield Wiper
Line D,2,2/11/2025,Morning,82,92,112.2,1,42,189,134,0,Active,0,Engine Oil Filter
Line D,3,2/11/2025,Morning,68,66,97.1,1,36,171,118,0,Active,0,Air Filter
Line A,1,2/12/2025,Night,110,31,28.2,2,21,191,31,3.9,Shortage Pause,71,Engine Oil Filter
Line A,2,2/12/2025,Night,137,0,0,0,25,167,0,5.3,Shortage Pause,141,Air Filter
Line A,3,2/12/2025,Night,96,105,109.4,1,29,150,112,0,Active,0,Spark Plug Set
Line B,1,2/12/2025,Night,105,0,0,0,40,232,0,5.1,Shortage Pause,100,Brake Pad Set
Line B,2,2/12/2025,Morning,120,121,100.8,0,49,208,167,0,Active,0,Brake Disc
Line B,3,2/12/2025,Morning,78,69,88.5,2,36,157,91,0,Active,0,Shock Absorber
Line C,1,2/12/2025,Morning,141,125,88.7,0,28,185,125,0.2,Shortage Pause,5,Timing Belt
Line C,2,2/12/2025,Night,106,92,86.8,0,20,199,92,0.6,Shortage Pause,11,Battery
Line C,3,2/12/2025,Night,109,115,105.5,1,47,176,131,0,Active,0,Headlight Bulb
Line D,1,2/12/2025,Night,110,0,0,0,47,161,0,2.9,Shortage Pause,100,Windshield Wiper
Line D,2,2/12/2025,Night,94,42,44.7,4,42,189,42,3.2,Shortage Pause,60,Engine Oil Filter
Line D,3,2/12/2025,Morning,8,0,0,0,36,171,52,1.5,Paused,0,Air Filter
Line A,1,2/13/2025,Night,117,111,94.9,0,21,191,125,0,Active,0,Engine Oil Filter
Line A,2,2/13/2025,Morning,136,130,95.6,0,25,167,130,0.4,Shortage Pause,15,Air Filter
Line A,3,2/13/2025,Night,88,82,93.2,0,29,150,82,0.3,Shortage Pause,6,Spark Plug Set
Line B,1,2/13/2025,Night,107,111,103.7,1,40,232,183,0,Active,0,Brake Pad Set
Line B,2,2/13/2025,Morning,133,155,116.5,2,49,208,189,0,Active,0,Brake Disc
Line B,3,2/13/2025,Night,82,79,96.3,0,36,157,152,0,Active,0,Shock Absorber
Line C,1,2/13/2025,Night,128,135,105.5,0,28,185,166,0,Active,0,Timing Belt
Line C,2,2/13/2025,Morning,82,80,97.6,0,20,199,193,0,Active,0,Battery
Line C,3,2/13/2025,Morning,110,16,14.5,0,47,176,16,4.9,Shortage Pause,90,Headlight Bulb
Line D,1,2/13/2025,Morning,108,117,108.3,1,47,161,121,0,Active,0,Windshield Wiper
Line D,2,2/13/2025,Night,73,0,0,0,42,189,0,5.3,Shortage Pause,69,Engine Oil Filter
Line D,3,2/13/2025,Morning,60,52,86.7,1,36,171,52,0.3,Shortage Pause,8,Air Filter
Line A,1,2/14/2025,Night,110,120,109.1,0,21,191,172,0,Active,0,Engine Oil Filter
Line A,2,2/14/2025,Night,153,150,98,2,25,167,150,0.1,Shortage Pause,5,Air Filter
Line A,3,2/14/2025,Morning,81,82,101.2,2,29,150,93,0,Active,0,Spark Plug Set
Line B,1,2/14/2025,Morning,82,72,87.8,3,40,232,72,0.5,Shortage Pause,15,Brake Pad Set
Line B,2,2/14/2025,Morning,121,34,28.1,0,49,208,34,2.7,Shortage Pause,98,Brake Disc
Line B,3,2/14/2025,Morning,79,73,92.4,0,36,157,73,0.2,Shortage Pause,3,Shock Absorber
Line C,1,2/14/2025,Morning,133,31,23.3,1,28,185,31,2.2,Shortage Pause,105,Timing Belt
Line C,2,2/14/2025,Night,101,101,100,1,20,199,113,0,Active,0,Battery
Line C,3,2/14/2025,Night,128,129,100.8,0,47,176,129,0.2,Shortage Pause,10,Headlight Bulb
Line D,1,2/14/2025,Night,99,4,4,0,47,161,4,3.4,Shortage Pause,104,Windshield Wiper
Line D,2,2/14/2025,Morning,74,80,108.1,1,42,189,98,0,Active,0,Engine Oil Filter
Line D,3,2/14/2025,Morning,7,0,0,0,36,171,0,1.3,Paused,0,Air Filter
Line A,1,2/15/2025,Morning,116,52,44.8,2,21,191,52,2.8,Shortage Pause,80,Engine Oil Filter
Line A,2,2/15/2025,Night,170,0,0,0,25,167,0,4.9,Shortage Pause,169,Air Filter
Line A,3,2/15/2025,Morning,86,78,90.7,2,29,150,108,0,Active,0,Spark Plug Set
Line B,1,2/15/2025,Morning,100,94,94,1,40,232,128,0,Active,0,Brake Pad Set
Line B,2,2/15/2025,Night,109,105,96.3,0,49,208,122,0.5,Active,0,Brake Disc
Line B,3,2/15/2025,Morning,79,0,0,0,36,157,0,3.6,Shortage Pause,71,Shock Absorber
Line C,1,2/15/2025,Night,164,131,79.9,6,28,185,131,0.9,Shortage Pause,35,Timing Belt
